Actividad,Slug,Areas
"Proyecto Integrador II: Robot humanoide Turi",robot-turi,"Operación; Diseño; Innovación e Investigación"
"Proyecto Integrador I: Aromatizador automático",aromatizador-automatico,"Operación; Diseño; Innovación e Investigación"
"Comunicación SPI maestro–esclavo con ATmega328P",comunicacion-spi,"Operación; Diseño; Innovación e Investigación"
"Comunicación I2C maestro–esclavo con ATmega328P",comunicacion-i2c,"Operación; Diseño; Innovación e Investigación"
"Control de animaciones en matriz RGB mediante UART",matriz-rgb-uart,"Operación; Diseño; Innovación e Investigación"
"Control de movimiento en matriz RGB con MPU6050",mpu6050-matriz-rgb,"Operación; Innovación e Investigación"
"Robot de mini fútbol con Bluetooth",robot-mini-futbol,"Operación; Diseño; Innovación e Investigación"
"Cerradura RFID con RC522, LCD I2C y EEPROM",cerradura-rfid,"Operación; Diseño; Innovación e Investigación"
"Selector de color con fotocelda, servomotor y WS2812",selector-color,"Operación; Diseño; Innovación e Investigación"
"Piano electrónico con doble buzzer",piano-electronico,"Operación"
"Motor trifásico, tablero industrial y arranque estrella-triángulo",motor-trifasico-tablero,"Operación; Mantenimiento; Diseño; Innovación e Investigación"
"Control térmico con LM35 y monitoreo serial",control-termico-lm35,"Operación; Innovación e Investigación"
"Control de motor DC por referencia analógica",control-motor-dc,"Operación"
"Medición de señales con instrumentos de laboratorio",instrumentos-laboratorio,"Operación; Mantenimiento"
"Electrónica analógica: simulación, medición y comparación",electronica-analogica,"Operación; Diseño"
"Circuito de arranque/parada con contactor",arranque-parada-contactor,"Operación; Mantenimiento"
"Arranque secuencial y apagado de motores",arranque-secuencial-motores,"Operación; Mantenimiento"
"Circuitos neumáticos con cilindros",circuitos-neumaticos,"Operación; Mantenimiento"
"Circuito para apertura de silo de pienso",silo-pienso,"Operación"
"Accionamientos eléctricos con relés y contactores",accionamientos-electricos,"Operación; Mantenimiento"
"Montaje y desmontaje del eje de transferencia y caja de cambios",montaje-desmontaje-eje,"Mantenimiento"
"Control de plotter físico con ATmega328P",plotter-atmega328p,"Diseño"
"Cerradura electrónica con teclado, LCD y EEPROM",cerradura-teclado,"Diseño"
"Electrónica digital: Karnaugh, motor paso a paso, seguidor de línea y candado digital",electronica-digital,"Diseño"
"Mini Proyecto: Mezclador de Audio Digital",mezclador-audio-digital,"Diseño; Innovación e Investigación"
"Comunicación SPI, I2C, UART y Bluetooth en sistemas embebidos",comunicaciones-sistemas-embebidos,"Diseño; Innovación e Investigación"
"Diseño CAD, planos y diagramas de bloques",diseno-cad-planos,"Diseño"
"Monitoreo serial y gráficas en Python para ajuste de sistemas",monitoreo-python,"Diseño"
